OriginAirport,DestinationAirport,Weight
KLAX,KSFO,0.0156536267
KSFO,KLAX,0.0124322622
KLAX,KSMO,0.008028778067
EGLL,LFPG,0.007691807282
EHAM,EGLL,0.007590824922
LFPG,EGLL,0.007044540298
EGLL,EHAM,0.006962611213
KLAX,KHHR,0.006457971605
KSAN,KLAX,0.006207829317
EGLC,EGLL,0.004715957853
KLAX,KSAN,0.004545022754
KLAX,KLAS,0.004265483984
EGLL,EGLM,0.004104347712
KLAS,KLAX,0.004056986714
KLGB,KLAX,0.003681092809
KHHR,KLAX,0.003644347206
EGLL,EGLC,0.003295127887
EGKK,EGLL,0.003165565614
KONT,KLAX,0.00293638193
EIDW,EGLL,0.002869423276
EGLL,EIDW,0.002758914279
KLAX,KTOA,0.002656026592
EGCC,EGLL,0.002631801713
EDDF,EGLL,0.002573008749
KLAX,KNTD,0.002548239491
EGLL,EGCC,0.00253381344
KBOS,KJFK,0.002485908061
KJFK,KBOS,0.002374038116
EGLL,EDDF,0.002362061771
KSFO,KOAK,0.002236037964
EGLL,EGWU,0.002123895829
KJFK,KLGA,0.002109197588
EGLL,KJFK,0.002072996364
KLAX,KVNY,0.002055576227
KJFK,EGLL,0.001978818746
KLAX,EGLL,0.001971469625
EGLL,EGKK,0.001959221091
OMDB,OTHH,0.001894167765
KLAX,KDEN,0.001843268301
EGPH,EGLL,0.001824215025
OTHH,OMDB,0.001787197233
KSFO,KSQL,0.001773587751
KPHX,KLAX,0.00173575339
KLAX,KCPM,0.001731398355
KDEN,KLAX,0.00172785989
EGLL,EGTF,0.001714250407
EGLL,EG86,0.001690297718
LSZH,EGLL,0.001686759253
KLAX,KPHX,0.001661445616
KLAX,KJFK,0.001630688185
EGSS,EGLL,0.001582238428
KEMT,KLAX,0.001563457342
EGKB,EGLL,0.001527528308
KJFK,KLAX,0.001513374447
EGLL,EGPH,0.001476901034
KLAX,KBUR,0.001469007534
EGLL,LSZH,0.001431989742
PHOG,PHNL,0.001409670191
EGLL,KLAX,0.001363125761
SBGR,SBGL,0.001345433433
KLAX,PHNL,0.001337267744
EGLL,EBBR,0.001321752934
KLAX,KEMT,0.001307326883
KLAX,KLGB,0.001306510314
EBBR,EGLL,0.001304877176
RKSI,RJTT,0.001300794331
PHNL,PHOG,0.001282285435
EDDM,EGLL,0.001281468866
KATL,KJFK,0.001251528005
VHHH,VHHX,0.001227303126
KJFK,KEWR,0.001186746868
KJFK,KFRG,0.001178581179
KEWR,KJFK,0.001147551559
RJOO,RJTT,0.001144829662
EGLL,EGSS,0.001138024921
KCPM,KLAX,0.001137480542
WMKK,WSSS,0.001129859232
RJTT,RJOO,0.001128498283
WIII,WSSS,0.001124143249
KLAX,KSEA,0.001120876973
WSSS,WMKK,0.001117066318
KSAN,KSFO,0.001096379905
RJTT,RKSI,0.001095018957
EGLL,EGLD,0.001093658008
KSEA,KLAX,0.001066711233
EGLL,EDDM,0.001055551458
KSFO,KHAF,0.001048202337
EGLL,OMDB,0.001044119492
EGWU,EGLL,0.00102261651
YSSY,NZAA,0.001015811769
KOAK,KSFO,0.001010367976
YMML,YSSY,0.001006285131
EGLL,LEMD,0.001001385718
LEMD,EGLL,0.001001113528
KJFK,KPHL,0.0009926756487
KSJC,KSFO,0.0009806993042
KPHL,KJFK,0.0009806993042
KDCA,KJFK,0.0009755277009
SBSP,SBRJ,0.000973077994
VTBS,WSSS,0.0009600128909
NZAA,YSSY,0.0009567466151
PHNL,KLAX,0.0009518472014
SBGL,SBGR,0.0009488531153
KLGA,KJFK,0.0009464034085
WSSS,VTBS,0.0009461312188
KSMO,KLAX,0.0009284388917
CYYZ,KJFK,0.0009197288229
WSSS,WIII,0.0009191844436
KLAX,KSNA,0.000912651892
KSFO,KSJC,0.000912651892
OMDB,EGLL,0.0009123797024
KJFK,KATL,0.0009082968577
KBUR,KLAX,0.0008919654787
KMIA,KJFK,0.0008911489098
HEAZ,HECA,0.0008791725652
KSFO,KSAN,0.0008742731516
WIII,WADD,0.0008712790654
KJFK,KMIA,0.0008652908932
KLAX,KSZP,0.0008486873246
KLAX,KSBA,0.0008432435316
KPSP,KLAX,0.0008424269627
KSNA,KLAX,0.0008342612732
OMDB,OMSJ,0.0008222849287
KLAX,KAVX,0.0008182020839
KLAX,KONT,0.0008154801875
KSEA,KSFO,0.0007986044292
KJFK,CYYZ,0.0007975156706
KJFK,KDCA,0.0007869002743
TNCM,TFFJ,0.0007713854644
EHAM,EHLV,0.0007708410851
RJCC,RJTT,0.0007708410851
SBGR,SBRJ,0.0007700245161
KJFK,KIAD,0.0007683913782
KCLT,KJFK,0.0007640363439
TFFF,TNCM,0.0007629475853
YSSY,YMML,0.0007613144474
RJFF,RJTT,0.0007501546718
WSSS,WSAC,0.0007406280341
KNUC,KLAX,0.0007381783272
KIAD,KJFK,0.0007302848274
YSCB,YSSY,0.0007270185516
KSFO,KSEA,0.0007240244655
EGLL,EGVN,0.0007229357069
EGLL,EGTR,0.0007223913276
LFPG,LFPB,0.0007202138104
FAOR,FACT,0.0007183084829
EDDF,EHAM,0.0007164031553
EGLL,EGTB,0.0007161309657
PHNL,PHNG,0.0007150422071
KSFO,KLAS,0.0007125925002
MMMX,KLAX,0.000705787759
EDDM,EDDF,0.0007046990004
KSFO,KNUQ,0.0007038824315
EGVN,EGLL,0.0007030658625
LTFM,EGLL,0.0007014327247
EGLL,EGKB,0.0007008883454
RJCC,RJCJ,0.0006978942592
EGLL,EGBB,0.0006954445524
WADD,WIII,0.0006908173284
RKSS,RKPC,0.0006826516389
RJTT,RJFF,0.0006818350699
KSFO,KDEN,0.0006807463114
KLAX,KOXR,0.0006807463114
RJAA,RJTT,0.0006799297424
FACT,FAOR,0.0006793853631
KLAX,KNSI,0.0006785687942
VABB,OMDB,0.0006723084322
RJTT,RJAA,0.0006603320877
KJFK,KCLT,0.0006581545705
KLAX,YSSY,0.0006573380016
KATL,KCLT,0.0006551604844
KDEN,KASE,0.0006543439154
RJTT,RJBB,0.0006537995361
YSSY,KLAX,0.0006445450881
KDEN,KSFO,0.0006434563295
RJBB,RJTT,0.0006429119502
OMDB,OMAA,0.0006391012951
LFPG,EHAM,0.0006391012951
KLAS,KSFO,0.0006377403469
RCTP,VHHH,0.0006374681572
VHHH,RCTP,0.0006369237779
EGLL,LTFM,0.0006366515883
KLAX,KNUC,0.000636107209
KLAX,KDFW,0.00063529064
EGCC,EIDW,0.0006344740711
KLAX,MMMX,0.0006331131228
SBRJ,SBSP,0.0006320243642
NZAA,NZQN,0.0006298468471
KATL,KMIA,0.0006295746574
EHAM,LFPG,0.0006293024678
KLAX,KFUL,0.0006244030541
KLAX,KCMA,0.0006211367783
PHTO,PHNL,0.0006203202093
KSFO,KPAO,0.0006178705025
KSFO,KHWD,0.0006143320371
RJTT,RJCC,0.0006116101406
KLAX,KEDW,0.000609704813
EHAM,EHRD,0.0006077994855
KBFI,KSEA,0.0006034444511
SBRJ,SBGR,0.0006029000718
EIDW,EGCC,0.0006026278822
OMDB,VABB,0.0005990894167
ZBAA,RKSI,0.0005963675203
EHAM,EDDF,0.0005906515376
